1913,,,,,,,53,,,03,,,71,10°,,,,20,22,,.06,43,,12,20,,,02,,06,,281
,,,97,,04,,.02,,,,,,07,,,,,,,,,,,16,38,03,10,,,,,1.26
1915,,,,,,,,,,34,20,,,,,,,,,,,,,17,,,,,,,,53
1916,,,,,,,,,,,,,,,,,,07,2 h,,,,06,,19,92,30,17,,,,2.34
917,,13,20,,,,,20,03,,,,,,,,,,,06,,,12,,,,,,,,,56.
"3161
19",,,,,,,,,,,,,,,,04,,,,,,21,24,,,,,,,,,57
,,,,,,,,,,,,,13,,,,,,,,,,,,,17,,,,,,30
1920,,,,,,02,62,,,04,,23,14,20,,,,,,,31,,,,,,,,100,,,1.56
1921,,105,,,,8.,,,,18,,,,,,,,,,,,14,,,,,,,32,,,87
1922,,,,,,,,,106,.02,,,,,,,,,,,,,,,,,,,,,,08
1923,92,1.20,10,,,,.05,,,,.23,,,,.09,,,,10,.ol,,03.,.12,.02,,.03,,,,,,3.01
1924,,,,,,03,12,13,,,•22,,,,,,OT,,,,,,,,,,,,,,,57
1925,,,03,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,33
1926,,,,,,,,,,,,,,138,05,,,33,81,16,,,,,,,,,,,,2.73
1927,27,,,,,,,1.00,07,,,,,,,33,,,,,,,tr,,,23,10,,,,,2.00
1928,,.07,,,,,,05,,51,20,,,,,,,,,,,,,,,,,,35,,,1.18
1929,30,,,,,,,,35,,,,,07,53,69,02,02,48,,,,,,,,,,,,,2.46
1930,,,,,,,,,,,,,,,,,,,,89,,,13,,,,.02,,,,,94
1931,,,,,,,,,.02,,,,,,32,33,36,26,,,08,ST,,,,,507,,,,,1.37
1932,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,124
