1893,,,,39,09,4.12,114,23,20,15,,25,,,ace,,53,,03,,,34,,,,,,,,02,04,4.64
1894,21,48,,,,,,,,,,,,,,,,24,,13,,118,12,titi,SH,,,,,19,37,"2,84"
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,,,108,,,,,,,,20,,,,,,,,,,10,,,,,,,02,10,,39,60
1897,,,,,,,,,,,15,27,,,,,,,,,,15,,,,,,,,,,74
1898,,,,,,,,,20,,05,,,,,,,,,,,,23,,,,,,,,07,62
1899,.06,,,,,,,,,",07",40,10,,,,70,14,18,.85,-.01,03,06,02,112,,,,,,,,272
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,T,40,,097
1902,,,,,,,,,,,,,,,,33,,,,,,17,,,,,,,,,.20,
1903,,,,8th,14,trace,,,QG,,,,,,,,,,,,,,,,,,,",07",,,,7977
1904,,,,,,49,,30,,,,,,,188,,,25,,,,,,,,,,,,,14,206
1905,,37,20,22,01,19,23,10,,,,,,,28,,.64,01,,,,,,70,,,,,,,,2.29
1906,,36,,,,,,,,,,,,63,,,,,,,,,,,03,,,,,,,1.09
1907,,,,,,,,,,,,,tr,,,,,,,,,,,,,,,ti.,,17,.05,67
1908,,",01",,,,,,,,,,15,.14,62,34,13,,,"Tr
.20","Tr
.30",,,,,,,,,.05,.21,15,230
1909,,,to,,,,,,,,,,,,,,,,50,23,30,,,10,,,,,10,10,90,2.23
1910,43,67,75,20,,,,,,,,,,,,,46,,,,,,,,02,,,,,,80,"2,43"
911,,45,,,,,,,19,.28,Tr,Tr.,,,,,,,,,,,,.01,,,,,,,,93
1962,,,10',,,,04,-47,,,,,,,,",05",29,07,02,,06,57,,,,,,08,25,,,167
